#   age       Mtot      Mc        Menv      Mini      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
   10.0000    0.6018    0.4690    0.1328    0.9018    2.6623    3.5367    8.0937    0.6544   12.6239    5.8164    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6028    0.4690    0.1338    0.9028    2.6702    3.5356    8.0930    0.6429   12.6300    5.8210    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6038    0.4690    0.1348    0.9038    2.6782    3.5345    8.0923    0.6314   12.6361    5.8256    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6048    0.4690    0.1358    0.9048    2.6862    3.5335    8.0916    0.6199   12.6422    5.8302    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6058    0.4690    0.1368    0.9058    2.6941    3.5324    8.0909    0.6084   12.6483    5.8348    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6067    0.4690    0.1377    0.9067    2.7021    3.5314    8.0902    0.5969   12.6544    5.8393    0.2880    0.0000    0.0169    0.0000    0.0000
#   age       Mtot      Mc        Menv      Mini      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
   10.0500    0.5410    0.4690    0.0720    0.8410    1.5091    3.8288    8.0664    2.9303   11.4630    4.3295    0.2880    0.9381    0.0169    0.0000    0.0000
   10.0500    0.6411    0.4690    0.1721    0.8411    1.5957    3.6601    8.0660    2.2422   11.8436    4.3287    0.2880    0.9402    0.0169    0.0000    0.0000
   10.0500    0.5420    0.4690    0.0730    0.8420    1.5122    3.8184    8.0664    2.8863   11.4854    4.3296    0.2880    0.9381    0.0169    0.0000    0.0000
   10.0500    0.6420    0.4690    0.1730    0.8420    2.7339    3.5259    8.0907    0.5678   12.6812    5.8550    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0500    0.5430    0.4690    0.0740    0.8430    2.5216    3.5666    8.0954    0.8706   12.4936    5.7360    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0500    0.6430    0.4690    0.1740    0.8430    2.7418    3.5249    8.0899    0.5567   12.6871    5.8593    0.2880    0.0000    0.0169    0.0000    0.0000
